Sequential Scan - Query 137: id=21738, x=11.21, y=87.39
Best First - Query 137: id=21738, x=11.21, y=87.39
Divide and Conquer - Query 137: id=21738, x=11.21, y=87.39
Sequential Scan - Query 138: id=124597, x=30.40, y=85.01
Best First - Query 138: id=124597, x=30.40, y=85.01
Divide and Conquer - Query 138: id=124597, x=30.40, y=85.01
Sequential Scan - Query 139: id=51813, x=69.90, y=112.03
Best First - Query 139: id=51813, x=69.90, y=112.03
Divide and Conquer - Query 139: id=51813, x=69.90, y=112.03
Sequential Scan - Query 140: id=24384, x=4.97, y=149.90
Best First - Query 140: id=24384, x=4.97, y=149.90
Divide and Conquer - Query 140: id=24384, x=4.97, y=149.90
Sequential Scan - Query 141: id=39009, x=70.97, y=137.09
Best First - Query 141: id=39009, x=70.97, y=137.09
Divide and Conquer - Query 141: id=39009, x=70.97, y=137.09
Sequential Scan - Query 142: id=47055, x=51.65, y=94.64
Best First - Query 142: id=47055, x=51.65, y=94.64
Divide and Conquer - Query 142: id=47055, x=51.65, y=94.64
Sequential Scan - Query 143: id=148670, x=55.17, y=128.75
Best First - Query 143: id=148670, x=55.17, y=128.75
Divide and Conquer - Query 143: id=148670, x=55.17, y=128.75
Sequential Scan - Query 144: id=139254, x=71.13, y=106.73
Best First - Query 144: id=139254, x=71.13, y=106.73
Divide and Conquer - Query 144: id=139254, x=71.13, y=106.73
Sequential Scan - Query 145: id=45577, x=23.47, y=142.23
Best First - Query 145: id=45577, x=23.47, y=142.23
Divide and Conquer - Query 145: id=45577, x=23.47, y=142.23
Sequential Scan - Query 146: id=95264, x=13.35, y=142.82
Best First - Query 146: id=95264, x=13.35, y=142.82
Divide and Conquer - Query 146: id=95264, x=13.35, y=142.82
Sequential Scan - Query 147: id=36199, x=16.84, y=131.82
Best First - Query 147: id=36199, x=16.84, y=131.82
Divide and Conquer - Query 147: id=36199, x=16.84, y=131.82
Sequential Scan - Query 148: id=125729, x=65.97, y=122.76
Best First - Query 148: id=125729, x=65.97, y=122.76
Divide and Conquer - Query 148: id=125729, x=65.97, y=122.76
Sequential Scan - Query 149: id=69841, x=59.14, y=119.99
Best First - Query 149: id=69841, x=59.14, y=119.99
Divide and Conquer - Query 149: id=69841, x=59.14, y=119.99
